target,tier,condition,window,stratum,n_genes,n_hit,a,b,c,d,fisher_OR,fisher_p,logit_coef,logit_OR,logit_p,logit_n,perm_obs,perm_null_mean,perm_p,perm_enrichment,logit_err
TRIM28,underpowered,Stim8hr,100kb,KZNF_only,480,10,10,0,359,111,inf,0.07005102653491196,24.977291269952257,70388185748.28778,0.9998644753156601,480,10.0,8.7528,0.17976404719056188,1.1424915455625628,
TRIM28,underpowered,Stim48hr,50kb,all,13405,22,9,13,2523,10860,2.979968901490899,0.013941559911335149,1.0466256764895638,2.8480247291200094,0.016920904637498343,13405,,,,,
TRIM28,underpowered,Stim48hr,50kb,non_KZNF,12911,14,1,13,2198,10699,0.37443130118289353,0.9268657689300954,-1.1113019056897389,0.32913018556186413,0.2854989003301085,12911,,,,,
TRIM28,underpowered,Stim48hr,50kb,KZNF_only,494,8,8,0,325,161,inf,0.0414653332221333,29.500512707583233,6484998533652.679,0.999979371922138,494,,,,,
TRIM28,underpowered,Stim48hr,100kb,all,13405,22,13,9,4430,8953,2.919212440431402,0.010960581888442547,1.0363323496112276,2.8188594410583523,0.017993229891105335,13405,13.0,7.9992,0.02399520095980804,1.6251625162516252,
TRIM28,underpowered,Stim48hr,100kb,non_KZNF,12911,14,5,9,4058,8839,1.210092546957998,0.46394526814163456,0.07681966627515764,1.0798473259425427,0.8913403342611498,12911,5.0,4.9406,0.5836832633473306,1.0120228312350728,
TRIM28,underpowered,Stim48hr,100kb,KZNF_only,494,8,8,0,372,114,inf,0.12049841041157625,64.84077797856028,1.4454134059451886e+28,,494,,,,,
ATF7IP,underpowered,Rest,50kb,all,12742,4,2,2,2407,10331,4.29206481096801,0.16420768577212025,1.3511938412209725,3.862033434307701,0.18248232351921978,12742,,,,,
ATF7IP,underpowered,Rest,50kb,non_KZNF,12267,4,2,2,2083,10180,4.8871819491118575,0.13652887351652426,1.4353328551630127,4.201043114982443,0.15739550840994831,12267,,,,,
ATF7IP,underpowered,Rest,50kb,KZNF_only,475,0,0,0,324,151,,1.0,-0.09869696709036115,0.9060172194626445,0.9999999919744643,475,,,,,
ATF7IP,underpowered,Rest,100kb,all,12742,4,3,1,4257,8481,5.976744186046512,0.1119617838061247,1.7043753196537088,5.49795013287493,0.14389076107542625,12742,,,,,
ATF7IP,underpowered,Rest,100kb,non_KZNF,12267,4,3,1,3892,8371,6.4524665981500515,0.09751829284963894,1.7553008107729993,5.785187727032641,0.13234084527221307,12267,,,,,
ATF7IP,underpowered,Rest,100kb,KZNF_only,475,0,0,0,365,110,,1.0,-0.8073760531387332,0.4460268829353701,0.9999999209477957,475,,,,,
ATF7IP,underpowered,Stim8hr,50kb,all,13128,0,0,0,2466,10662,,1.0,-0.07055328825457323,0.9318780800463179,0.9999996607281081,13128,,,,,
ATF7IP,underpowered,Stim8hr,50kb,non_KZNF,12643,0,0,0,2137,10506,,1.0,,,,12643,,,,,Singular matrix
ATF7IP,underpowered,Stim8hr,50kb,KZNF_only,485,0,0,0,329,156,,1.0,-0.07424747415568678,0.9284419000331308,0.9999999731888988,485,,,,,
ATF7IP,underpowered,Stim8hr,100kb,all,13128,0,0,0,4341,8787,,1.0,0.272826348027136,1.3136721032642682,0.9999968875063854,13128,,,,,
ATF7IP,underpowered,Stim8hr,100kb,non_KZNF,12643,0,0,0,3968,8675,,1.0,-1.4148347399040688,0.24296576267636635,0.9999984116389259,12643,,,,,
ATF7IP,underpowered,Stim8hr,100kb,KZNF_only,485,0,0,0,373,112,,1.0,-3.2630309149094425,0.03827222219809959,0.9999999233822666,485,,,,,
ATF7IP,underpowered,Stim48hr,50kb,all,12738,10,2,8,2403,10325,1.0741781106949646,0.5895345271239785,-0.019796874420565373,0.9803977969531001,0.980108662584706,12738,,,,,
ATF7IP,underpowered,Stim48hr,50kb,non_KZNF,12266,10,2,8,2081,10175,1.2223690533397404,0.5264915580980085,0.1419902912197369,1.152565458477909,0.858493597347617,12266,,,,,
ATF7IP,underpowered,Stim48hr,50kb,KZNF_only,472,0,0,0,322,150,,1.0,1.6609757243917291,5.264444986668084,0.9999940933108424,472,,,,,
ATF7IP,underpowered,Stim48hr,100kb,all,12738,10,6,4,4207,8521,3.0381507012122655,0.07386145265011997,1.07471462198536,2.9291568642756958,0.09840134121065555,12738,6.0,3.392,0.08158368326334733,1.7688679245283019,
ATF7IP,underpowered,Stim48hr,100kb,non_KZNF,12266,10,6,4,3840,8416,3.2875,0.05799033029419238,1.1837966868135432,3.266753527851553,0.06944186442871084,12266,6.0,3.2598,0.06458708258348331,1.8406037180195105,
ATF7IP,underpowered,Stim48hr,100kb,KZNF_only,472,0,0,0,367,105,,1.0,-0.5919568805815429,0.5532435931085626,0.9999984070313679,472,,,,,
